,best_bid,best_offer,daily_return,date,days_mat,delta,exdate,forward_price,impl_volatility,months_mat,price,secid,strike_price,symbol,adj_prices
495251,894.3,896.2,-0.0013943112102621225,2019-04-15,32,,2019-05-17,2907.533607,,1,895.25,108105.0,2010000.0,SPX 190517C2010000,1153.6136505002294
501910,894.3,896.2,0.0,2019-04-16,31,,2019-05-17,2908.93636,,1,895.25,108105.0,2010000.0,SPX 190517C2010000,1153.6136505002294
508612,888.4,891.9,-0.005696732756213407,2019-04-17,30,,2019-05-17,2902.2729,,0,890.15,108105.0,2010000.0,SPX 190517C2010000,1147.0418218294099
515001,892.9,896.1,0.004886816828624463,2019-04-18,29,,2019-05-17,2906.768656,,0,894.5,108105.0,2010000.0,SPX 190517C2010000,1152.6472051074618
521393,895.5,898.4,0.002738960313024119,2019-04-22,25,,2019-05-17,2909.427882,,0,896.95,108105.0,2010000.0,SPX 190517C2010000,1155.8042600571694
528044,920.2,923.6,0.027816489213445594,2019-04-23,24,,2019-05-17,2934.99359,,0,921.9000000000001,108105.0,2010000.0,SPX 190517C2010000,1187.9546767899042
534706,915.8,918.8,-0.004989695194706711,2019-04-24,23,0.997362,2019-05-17,2928.503327,0.530501,0,917.3,108105.0,2010000.0,SPX 190517C2010000,1182.0271450475962
541368,913.8,916.8,-0.0021803117845852205,2019-04-25,22,,2019-05-17,2927.352873,,0,915.3,108105.0,2010000.0,SPX 190517C2010000,1179.4499573335493
548038,924.3,927.4,0.011526275538074948,2019-04-26,21,,2019-05-17,2941.003516,,0,925.8499999999999,108105.0,2010000.0,SPX 190517C2010000,1193.0446225251465
588811,879.5,881.4,0.0,2019-05-06,46,,2019-06-21,2934.999857,,1,880.45,108105.0,2050000.0,SPX 190621C2050000,1193.0446225251465
595530,829.5,832.4,-0.05622125049690496,2019-05-07,45,,2019-06-21,2886.466104,,1,830.95,108105.0,2050000.0,SPX 190621C2050000,1125.9701619481748
602245,827.6,831.0,-0.001985679042060373,2019-05-08,44,0.995683,2019-06-21,2881.523356,0.354184,1,829.3,108105.0,2050000.0,SPX 190621C2050000,1123.734346595609
609043,817.1,820.4,-0.012721572410466564,2019-05-09,43,,2019-06-21,2872.701179,,1,818.75,108105.0,2050000.0,SPX 190621C2050000,1109.4386787352646
615882,827.0,830.5,0.012213740458015376,2019-05-10,42,,2019-06-21,2883.312724,,1,828.75,108105.0,2050000.0,SPX 190621C2050000,1122.9890748114206
622826,761.0,764.5,-0.0796380090497738,2019-05-13,39,0.989117,2019-06-21,2813.518769,0.42647,1,762.75,108105.0,2050000.0,SPX 190621C2050000,1033.5564607087915
629587,784.0,786.5,0.029498525073746285,2019-05-14,38,0.989287,2019-06-21,2836.001145,0.442365,1,785.25,108105.0,2050000.0,SPX 190621C2050000,1064.0448518801422
636514,799.3,802.7,0.02005730659025784,2019-05-15,37,0.994167,2019-06-21,2852.49614,0.405617,1,801.0,108105.0,2050000.0,SPX 190621C2050000,1085.3867257000877
643441,824.3,827.4,0.03102372034956291,2019-05-16,36,,2019-06-21,2877.834136,,1,825.8499999999999,108105.0,2050000.0,SPX 190621C2050000,1119.059459949335
649941,808.1,810.8,-0.01985832778349561,2019-05-17,35,0.995233,2019-06-21,2860.98989,0.406256,1,809.45,108105.0,2050000.0,SPX 190621C2050000,1096.8368103844396
656546,790.0,793.2,-0.02205201062449813,2019-05-20,32,0.986883,2019-06-21,2841.510624,0.509368,1,791.6,108105.0,2050000.0,SPX 190621C2050000,1072.6493533885014
663330,813.6,816.4,0.029560384032339515,2019-05-21,31,0.990804,2019-06-21,2865.581613,0.495908,1,815.0,108105.0,2050000.0,SPX 190621C2050000,1104.357280206706
670091,805.2,808.7,-0.009877300613496898,2019-05-22,30,0.990722,2019-06-21,2857.453335,0.501353,0,806.95,108105.0,2050000.0,SPX 190621C2050000,1093.4492113654005
676852,768.7,771.8,-0.045479893425862894,2019-05-23,29,,2019-06-21,2823.35655,,0,770.25,108105.0,2050000.0,SPX 190621C2050000,1043.7192577659082
683625,773.9,777.0,0.006751054852320637,2019-05-24,28,,2019-06-21,2827.135829,,0,775.45,108105.0,2050000.0,SPX 190621C2050000,1050.7654637255093
690500,753.2,756.3,-0.026694177574311695,2019-05-28,24,0.982356,2019-06-21,2803.272106,0.605893,0,754.75,108105.0,2050000.0,SPX 190621C2050000,1022.7161438478666
697428,732.7,735.6,-0.02729380589599195,2019-05-29,23,0.988575,2019-06-21,2783.855995,0.554282,0,734.1500000000001,108105.0,2050000.0,SPX 190621C2050000,994.8023279309856
704201,734.4,737.7,0.0025880269699651848,2019-05-30,22,,2019-06-21,2789.678433,,0,736.05,108105.0,2050000.0,SPX 190621C2050000,997.3769031854551
710959,700.5,704.1,-0.04585286325657223,2019-05-31,21,0.994831,2019-06-21,2752.830414,0.487007,0,702.3,108105.0,2050000.0,SPX 190621C2050000,951.644316428429
718190,818.4,821.9,0.0,2019-06-03,46,0.988266,2019-07-19,2746.220064,0.445272,1,820.15,108105.0,1925000.0,SPX 190719C1925000,951.644316428429
725229,876.5,881.1,0.07151130890690727,2019-06-04,45,0.989027,2019-07-19,2805.001808,0.471862,1,878.8,108105.0,1925000.0,SPX 190719C1925000,1019.697647110045
732250,899.9,903.1,0.025830678197542145,2019-06-05,44,0.989967,2019-07-19,2827.850796,0.479384,1,901.5,108105.0,1925000.0,SPX 190719C1925000,1046.0371288913354
739289,917.2,920.0,0.018968386023294537,2019-06-06,43,0.991335,2019-07-19,2845.185845,0.478856,1,918.6,108105.0,1925000.0,SPX 190719C1925000,1065.878764946845
746377,948.1,951.0,0.033692575658610835,2019-06-07,42,0.986393,2019-07-19,2874.940359,0.548228,1,949.55,108105.0,1925000.0,SPX 190719C1925000,1101.7909658777232
753590,961.4,964.5,0.014111947764730681,2019-06-10,39,0.986964,2019-07-19,2888.267673,0.572465,1,962.95,108105.0,1925000.0,SPX 190719C1925000,1117.3393824358418
760702,959.2,962.1,-0.002388493691261151,2019-06-11,38,0.992881,2019-07-19,2887.238475,0.512752,1,960.6500000000001,108105.0,1925000.0,SPX 190719C1925000,1114.6706243698961
767862,952.4,955.2,-0.0071305886639255744,2019-06-12,37,,2019-07-19,2881.243066,,1,953.8,108105.0,1925000.0,SPX 190719C1925000,1106.7223666517534
775022,962.4,965.4,0.01058922205913193,2019-06-13,36,,2019-07-19,2893.000638,,1,963.9,108105.0,1925000.0,SPX 190719C1925000,1118.441695550037
782185,963.1,966.1,0.0007262164124910431,2019-06-14,35,0.982201,2019-07-19,2888.260195,0.650201,1,964.6,108105.0,1925000.0,SPX 190719C1925000,1119.2539262657597
789472,962.6,965.5,-0.0005701845324487254,2019-06-17,32,0.996863,2019-07-19,2890.853514,0.481358,1,964.05,108105.0,1925000.0,SPX 190719C1925000,1118.6157449891205
796653,991.8,995.1,0.030496343550645788,2019-06-18,31,0.990115,2019-07-19,2918.880932,0.629954,1,993.45,108105.0,1925000.0,SPX 190719C1925000,1152.7294350494703
803785,1002.2,1006.5,0.010971865720469154,2019-06-19,30,0.982363,2019-07-19,2927.55376,0.729616,0,1004.35,108105.0,1925000.0,SPX 190719C1925000,1165.3770276228654
811054,1031.7,1034.6,0.028675262607656737,2019-06-20,29,0.979649,2019-07-19,2955.298157,0.786357,0,1033.15,108105.0,1925000.0,SPX 190719C1925000,1198.7945199268815
817938,1026.4,1029.3,-0.005129942409137334,2019-06-21,28,0.984644,2019-07-19,2951.539191,0.749443,0,1027.85,108105.0,1925000.0,SPX 190719C1925000,1192.6447730792672
824930,1019.8,1022.6,-0.006469815634576936,2019-06-24,25,0.990675,2019-07-19,2946.293487,0.717294,0,1021.2,108105.0,1925000.0,SPX 190719C1925000,1184.9285812799026
832262,993.3,996.1,-0.02594986290638468,2019-06-25,24,0.985129,2019-07-19,2918.270218,0.786276,0,994.7,108105.0,1925000.0,SPX 190719C1925000,1154.1798470418323
839432,989.0,991.9,-0.0042726450185985865,2019-06-26,23,0.987647,2019-07-19,2914.641141,0.771977,0,990.45,108105.0,1925000.0,SPX 190719C1925000,1149.2484462678021
846602,1001.2,1004.0,0.012267151294865997,2019-06-27,22,0.984262,2019-07-19,2925.733452,0.839476,0,1002.6,108105.0,1925000.0,SPX 190719C1925000,1163.346450833559
853643,1012.4,1019.1,0.013115898663474956,2019-06-28,21,,2019-07-19,2942.519043,,0,1015.75,108105.0,1925000.0,SPX 190719C1925000,1178.6047849932052
861108,884.9,889.8,0.0,2019-07-01,46,,2019-08-16,2965.800868,,1,887.3499999999999,108105.0,2075000.0,SPX 190816C2075000,1178.6047849932052
868001,893.3,896.2,0.008339437651434078,2019-07-02,45,,2019-08-16,2974.386021,,1,894.75,108105.0,2075000.0,SPX 190816C2075000,1188.433686113338
874854,916.5,919.9,0.026208438111204213,2019-07-03,44,,2019-08-16,2997.094974,,1,918.2,108105.0,2075000.0,SPX 190816C2075000,1219.5806768251095
882111,910.3,913.4,-0.006915704639512188,2019-07-05,42,,2019-08-16,2991.700897,,1,911.8499999999999,108105.0,2075000.0,SPX 190816C2075000,1211.1464170801307
889474,898.6,901.5,-0.012940724899928702,2019-07-08,39,0.996432,2019-08-16,2977.101726,0.38509,1,900.05,108105.0,2075000.0,SPX 190816C2075000,1195.4733044831626
896614,904.1,907.0,0.006110771623798694,2019-07-09,38,0.987007,2019-08-16,2980.791614,0.515174,1,905.55,108105.0,2075000.0,SPX 190816C2075000,1202.7785688292072
903700,915.7,918.6,0.012809894539230537,2019-07-10,37,0.99742,2019-08-16,2994.263264,0.367969,1,917.1500000000001,108105.0,2075000.0,SPX 190816C2075000,1218.186035449956
910786,921.6,924.5,0.006432971705827795,2019-07-11,36,,2019-08-16,3000.931188,,1,923.05,108105.0,2075000.0,SPX 190816C2075000,1226.0225917484402
917864,935.8,940.5,0.016358810465305185,2019-07-12,35,0.994941,2019-08-16,3014.786778,0.460861,1,938.15,108105.0,2075000.0,SPX 190816C2075000,1246.0788629530352
925121,934.1,940.0,-0.001172520385865794,2019-07-15,32,,2019-08-16,3015.149815,,1,937.05,108105.0,2075000.0,SPX 190816C2075000,1244.6178100838263
932134,926.3,931.9,-0.008484072354730365,2019-07-16,31,0.991738,2019-08-16,3004.838147,0.53813,1,929.0999999999999,108105.0,2075000.0,SPX 190816C2075000,1234.058382529089
939250,907.9,913.9,-0.019588849424173826,2019-07-17,30,0.985572,2019-08-16,2985.195233,0.601318,0,910.9,108105.0,2075000.0,SPX 190816C2075000,1209.8845986930871
946366,915.4,920.5,0.00773959819958292,2019-07-18,29,,2019-08-16,2995.80716,,0,917.95,108105.0,2075000.0,SPX 190816C2075000,1219.2486193548352
953090,899.9,906.0,-0.016340759300615515,2019-07-19,28,0.986279,2019-08-16,2977.268556,0.612942,0,902.95,108105.0,2075000.0,SPX 190816C2075000,1199.32517113835
959926,905.8,912.6,0.006921756464920437,2019-07-22,25,,2019-08-16,2985.659414,,0,909.2,108105.0,2075000.0,SPX 190816C2075000,1207.6266078952187
966913,925.3,930.4,0.020512538495380372,2019-07-23,24,,2019-08-16,3006.067347,,0,927.8499999999999,108105.0,2075000.0,SPX 190816C2075000,1232.398095177715
973882,939.1,944.8,0.015196421835426133,2019-07-24,23,,2019-08-16,3020.102653,,0,941.95,108105.0,2075000.0,SPX 190816C2075000,1251.1261365012112
980851,920.6,927.6,-0.018950050427305132,2019-07-25,22,,2019-08-16,3004.11467,,0,924.1,108105.0,2075000.0,SPX 190816C2075000,1227.4172331235939
987822,946.7,952.6,0.027648522887133486,2019-07-26,21,,2019-08-16,3026.254433,,0,949.6500000000001,108105.0,2075000.0,SPX 190816C2075000,1261.3535065856736
1030712,850.1,856.6,0.0,2019-08-05,46,0.993646,2019-09-20,2845.145721,0.392063,1,853.35,108105.0,1990000.0,SPX 190920C1990000,1261.3535065856736
1037708,886.9,893.1,0.04294837991445477,2019-08-06,45,0.996682,2019-09-20,2882.249337,0.347391,1,890.0,108105.0,1990000.0,SPX 190920C1990000,1315.526596192945
1044664,890.3,901.2,0.006460674157303448,2019-08-07,44,0.979717,2019-09-20,2884.329762,0.539008,1,895.75,108105.0,1990000.0,SPX 190920C1990000,1324.025784876214
1051631,940.8,946.6,0.05353056098241704,2019-08-08,43,,2019-09-20,2938.500874,,1,943.7,108105.0,1990000.0,SPX 190920C1990000,1394.9016278958227
1058778,923.1,929.4,-0.0184910458832257,2019-08-09,42,,2019-09-20,2919.06187,,1,926.25,108105.0,1990000.0,SPX 190920C1990000,1369.108437891815
1066032,889.7,895.2,-0.03649122807017535,2019-08-12,39,0.989386,2019-09-20,2883.073565,0.498338,1,892.45,108105.0,1990000.0,SPX 190920C1990000,1319.147989631903
1073241,928.0,939.1,0.04605300016807656,2019-08-13,38,,2019-09-20,2926.766328,,1,933.55,108105.0,1990000.0,SPX 190920C1990000,1379.898712220139
1080396,847.4,855.5,-0.08794387017299543,2019-08-14,37,0.985491,2019-09-20,2841.161411,0.525502,1,851.45,108105.0,1990000.0,SPX 190920C1990000,1258.5450790207676
1087551,855.5,861.5,0.008279992953197368,2019-08-15,36,0.985398,2019-09-20,2848.103806,0.537951,1,858.5,108105.0,1990000.0,SPX 190920C1990000,1268.9658234063409
1094276,895.6,902.4,0.04717530576587081,2019-08-16,35,0.98831,2019-09-20,2889.16205,0.54296,1,899.0,108105.0,1990000.0,SPX 190920C1990000,1328.829674131975
1101001,930.8,936.3,0.03843159065628465,2019-08-19,32,0.991012,2019-09-20,2924.090938,0.559296,1,933.55,108105.0,1990000.0,SPX 190920C1990000,1379.8987122201393
1107610,907.8,912.8,-0.024904932783460954,2019-08-20,31,0.991871,2019-09-20,2900.939255,0.546376,1,910.3,108105.0,1990000.0,SPX 190920C1990000,1345.5324275443124
1114524,931.0,935.4,0.02515654179940685,2019-08-21,30,,2019-09-20,2924.860268,,0,933.2,108105.0,1990000.0,SPX 190920C1990000,1379.3813703002884
1121438,930.5,935.8,-5.357908272618506e-05,2019-08-22,29,0.990328,2019-09-20,2923.323629,0.598712,0,933.15,108105.0,1990000.0,SPX 190920C1990000,1379.3074643117382
1128347,846.1,853.2,-0.08948186250870693,2019-08-23,28,,2019-09-20,2847.506589,,0,849.6500000000001,108105.0,1990000.0,SPX 190920C1990000,1255.884463432962
1135390,880.4,885.8,0.039369152003766006,2019-08-26,25,,2019-09-20,2878.779921,,0,883.0999999999999,108105.0,1990000.0,SPX 190920C1990000,1305.3275697730226
